Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,FPR,FNR,Experiment,Run Signature,Evaluation Metric,best_epoch
bert-base-uncased,0.96875,1.0,0.9473684210526315,0.972972972972973,1.0,0.0,0.05263157894736842,prefinal-bert-base-uncased,"model(mn=bert-base-uncased,mmn=loss,e=10,bs=8,ebs=8,lr=5e-05,wd=0.01,esp=3,est=0.001);dataset(dn=euvsdisinfo,tp=0.7,vp=0.15);pipeline([truncation(f=0.1,tt=top),noise_reduction(),bert_base_uncased_encoder(t=bert-base-uncased,t=true,p=max_length,tml=512,isiw=false)])",f1_score,3.0
distilbert-base-uncased,1.0,1.0,1.0,1.0,1.0,0.0,0.0,prefinal-distillibert-base-uncased,"model(mn=distilbert-base-uncased,mmn=loss,e=10,bs=8,ebs=8,lr=5e-05,wd=0.01,esp=3,est=0.001);dataset(dn=euvsdisinfo,tp=0.7,vp=0.15);pipeline([truncation(f=0.1,tt=top),noise_reduction(),distillibert_encoder(t=distilbert-base-uncased,t=true,p=max_length,tml=512,isiw=false)])",f1_score,4.0
