Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,FPR,FNR,Experiment,Run Signature,Run ID,Evaluation Metric,best_epoch
BERT,0.6666666666666666,1.0,0.5454545454545454,0.7058823529411765,0.9772727272727273,0.0,0.45454545454545453,prefinal-bert-v2,"model(mn=bert,ti=bert-base-uncased,mmn=loss,e=10,bs=16,ebs=16,lr=5e-05,ls=linear,wd=0.001,o=adamw_torch,esp=3,est=0.01);dataset(dn=cz_dataset,tp=0.7,vp=0.15);pipeline([truncation(f=0.1,tt=top),noise_reduction(),nltk_tokenizer(lc=cs),stemming(st=czech_stemmer,lc=cs),bert_base_uncased_encoder(t=bert-base-uncased,t=true,p=max_length,tml=128,isiw=true)])",31fe9869fc8f4bf19ec32316af796f51,false_positives_rate,3.0
DistilliBERT,0.7333333333333333,0.875,0.7,0.7777777777777778,0.8400000000000001,0.2,0.3,prefinal-distilli_bert-v2,"model(mn=distillibert,ti=distilbert-base-uncased,mmn=loss,e=10,bs=16,ebs=16,lr=5e-05,ls=linear,wd=0.001,o=adamw_torch,esp=3,est=0.01);dataset(dn=cz_dataset,tp=0.7,vp=0.15);pipeline([truncation(f=0.1,tt=top),noise_reduction(),nltk_tokenizer(lc=cs),stemming(st=czech_stemmer,lc=cs),distilli_bert__encoder(t=distilbert-base-uncased,t=true,p=max_length,tml=128,isiw=true)])",32154051dcf8478c89014ffe85c78124,false_positives_rate,10.0
RoBERTa,0.3181818181818182,0.0,0.0,0.0,0.9523809523809524,0.0,1.0,prefinal-roberta-v2,"model(mn=roberta,ti=roberta-base,mmn=loss,e=10,bs=16,ebs=16,lr=5e-05,ls=linear,wd=0.001,o=adamw_torch,esp=3,est=0.01);dataset(dn=cz_dataset,tp=0.7,vp=0.15);pipeline([truncation(f=0.15,tt=top),noise_reduction(),nltk_tokenizer(lc=cs),stemming(st=czech_stemmer,lc=cs),ro_ber_ta_encoder(t=roberta-base,t=true,p=max_length,tml=128,isiw=true)])",c1bff05932834464aab83e1393aa3d9e,false_positives_rate,1.0
GPT1,0.3181818181818182,0.3333333333333333,0.15384615384615385,0.21052631578947367,0.41880341880341887,0.4444444444444444,0.8461538461538461,prefinal-gpt1-v2,"model(mn=gpt1,ti=openai-gpt,mmn=loss,e=10,bs=16,ebs=16,lr=5e-05,ls=linear,wd=0.001,o=adamw_torch,esp=3,est=0.01,pt=none,pti=none);dataset(dn=cz_dataset,tp=0.7,vp=0.15);pipeline([truncation(f=0.15,tt=top),noise_reduction(),nltk_tokenizer(lc=cs),stemming(st=czech_stemmer,lc=cs),gpt1__encoder(t=openai-gpt,t=true,p=max_length,tml=128,isiw=true,pt=none)])",43ae211d60814aaca2fd52aeaa0f52ca,false_positives_rate,1.0
GPT2,0.5,0.625,0.6666666666666666,0.6451612903225806,0.48571428571428577,0.8571428571428571,0.3333333333333333,prefinal-gpt2-v2,"model(mn=gpt2,ti=gpt2,mmn=loss,e=10,bs=16,ebs=16,lr=5e-05,ls=linear,wd=0.001,o=adamw_torch,esp=3,est=0.01,pt=none,pti=none);dataset(dn=cz_dataset,tp=0.7,vp=0.15);pipeline([truncation(f=0.15,tt=top),noise_reduction(),nltk_tokenizer(lc=cs),stemming(st=czech_stemmer,lc=cs),gpt2__encoder(t=gpt2,t=true,p=max_length,tml=128,isiw=true,pt=none)])",a5b643c9f57d4ea4ab9203bf3f3671fb,false_positives_rate,6.0
